emp_no,first_name,last_name,from_date,to_date,birth_date
10134,Diederik,Siprelle,1994-12-12,9999-01-01,1953-04-15
10134,Diederik,Siprelle,1987-12-12,1994-12-12,1953-04-15
10138,Perry,Shimshoni,2001-03-03,9999-01-01,1955-04-24
10138,Perry,Shimshoni,1992-03-03,2001-03-03,1955-04-24
10150,Zhenbing,Perng,1995-11-16,9999-01-01,1955-01-29
10150,Zhenbing,Perng,1986-11-16,1995-11-16,1955-01-29
10153,Heekeun,Majewski,2000-01-08,9999-01-01,1955-12-15
10157,Nigel,Aloisi,1997-12-10,9999-01-01,1954-04-23
10198,Pranav,Furedi,1993-08-31,9999-01-01,1953-05-28
10198,Pranav,Furedi,1985-08-31,1993-08-31,1953-05-28
10215,Xiaobin,Duclos,1991-11-23,9999-01-01,1954-04-02
10224,Leon,Trogemann,1988-01-09,1996-01-09,1954-05-17
10224,Leon,Trogemann,1996-01-09,9999-01-01,1954-05-17
10233,Lein,Vendrig,2000-04-28,9999-01-01,1954-04-01
10233,Lein,Vendrig,1994-04-29,2000-04-28,1954-04-01
10258,Basil,Ishibashi,1985-05-17,1991-05-17,1955-12-12
10258,Basil,Ishibashi,1991-05-17,1997-05-16,1955-12-12
10258,Basil,Ishibashi,1997-05-16,9999-01-01,1955-12-12
10272,Yishai,Cannane,1997-10-23,9999-01-01,1954-11-30
10282,Hercules,Benzmuller,2001-05-02,9999-01-01,1953-11-27
10282,Hercules,Benzmuller,1996-05-02,2001-05-02,1953-11-27
10283,Kauko,Birjandi,1988-05-25,1995-05-26,1953-07-08
10283,Kauko,Birjandi,1995-05-26,9999-01-01,1953-07-08
10326,Masali,Czap,1998-09-02,9999-01-01,1953-02-13
10340,Djelloul,Laventhal,1988-03-30,1993-03-30,1952-08-20
10340,Djelloul,Laventhal,1993-03-30,9999-01-01,1952-08-20
10347,Pradeep,Kaminger,1998-02-20,9999-01-01,1953-10-03
10355,Satyanarayana,Cochrane,1996-01-26,9999-01-01,1952-12-10
10356,Vasilis,Standera,1995-06-26,9999-01-01,1952-08-12
10364,Nakhoon,Dengi,1985-11-14,9999-01-01,1954-09-21
10372,Anneli,Frijda,1985-07-30,9999-01-01,1952-04-08
10387,Parto,Wrigley,1994-01-07,1999-01-07,1952-11-03
10387,Parto,Wrigley,1999-01-07,9999-01-01,1952-11-03
10396,Sibyl,Rahier,1986-01-11,9999-01-01,1955-08-21
10402,Volkmar,Ebeling,1987-01-02,9999-01-01,1953-07-23
10404,Prodip,Rosti,1988-08-28,1996-08-28,1955-04-27
10404,Prodip,Rosti,1996-08-28,9999-01-01,1955-04-27
10426,Arunas,Luce,1985-07-06,9999-01-01,1955-12-28
10429,Martien,Improta,1988-09-23,9999-01-01,1952-02-13
10432,Hisao,Tiemann,1996-08-12,9999-01-01,1953-11-06
10432,Hisao,Tiemann,1990-08-13,1996-08-12,1953-11-06
10451,Bodh,Ranta,1988-03-12,1993-03-12,1952-10-06
10451,Bodh,Ranta,1998-03-12,9999-01-01,1952-10-06
10451,Bodh,Ranta,1993-03-12,1998-03-12,1952-10-06
10453,Tsvetan,Matzel,1993-04-02,9999-01-01,1953-07-19
10453,Tsvetan,Matzel,1985-04-02,1993-04-02,1953-07-19
10463,Ung,Zaiane,1994-02-17,9999-01-01,1954-05-20
10486,Amstein,Kossowski,1987-10-08,1996-10-07,1952-08-24
10486,Amstein,Kossowski,1996-10-07,9999-01-01,1952-08-24
10494,Yakkov,Servieres,2000-12-17,9999-01-01,1953-12-21
10494,Yakkov,Servieres,1991-12-18,2000-12-17,1953-12-21
10504,Xiong,Varker,1999-10-19,9999-01-01,1953-04-07
10512,Udi,Gihr,1998-11-28,9999-01-01,1955-11-16
10512,Udi,Gihr,1989-11-28,1998-11-28,1955-11-16
10522,Marke,Cesareni,1986-12-12,1995-12-12,1955-07-24
10522,Marke,Cesareni,1995-12-12,9999-01-01,1955-07-24
10548,Ramalingam,Gunderson,1986-07-04,1993-07-04,1952-06-12
10548,Ramalingam,Gunderson,1993-07-04,9999-01-01,1952-06-12
10564,Jianhao,Thisen,1995-11-23,2000-11-22,1955-04-14
10564,Jianhao,Thisen,2000-11-22,9999-01-01,1955-04-14
10623,Aleksander,Danlos,1999-01-15,9999-01-01,1953-07-11
10623,Aleksander,Danlos,1992-01-15,1999-01-15,1953-07-11
10628,Krisda,Krogh,2001-03-14,9999-01-01,1954-04-18
10628,Krisda,Krogh,1987-03-14,1994-03-14,1954-04-18
10628,Krisda,Krogh,1994-03-14,2001-03-14,1954-04-18
10631,Inderjeet,Chaudhuri,1994-10-18,9999-01-01,1955-05-17
10642,Hirochika,Narlikar,1998-10-05,9999-01-01,1955-12-19
10653,Otmar,Feinberg,1987-04-30,9999-01-01,1953-06-16
10671,Parviz,Rebaine,2001-09-13,9999-01-01,1953-06-12
10671,Parviz,Rebaine,1995-09-14,2001-09-13,1953-06-12
10676,Valeri,Danley,1999-09-04,9999-01-01,1953-08-26
10693,Berhard,Daescu,1991-01-08,9999-01-01,1953-12-14
10693,Berhard,Daescu,1986-01-08,1991-01-08,1953-12-14
10702,Bader,Szemeredi,1991-01-14,9999-01-01,1952-11-25
10718,Adib,Rullman,1988-07-21,1997-07-21,1955-12-19
10718,Adib,Rullman,1997-07-21,9999-01-01,1955-12-19
10726,Zita,Minakawa,1992-02-25,2001-02-24,1954-01-11
10726,Zita,Minakawa,2001-02-24,9999-01-01,1954-01-11
10734,Sachar,Erdi,1995-12-19,9999-01-01,1954-07-06
10745,Poorav,Ranze,1997-01-22,9999-01-01,1953-10-23
10745,Poorav,Ranze,1988-01-23,1997-01-22,1953-10-23
10749,King,Brendel,1990-09-26,9999-01-01,1955-08-21
10749,King,Brendel,1985-09-26,1990-09-26,1955-08-21
10767,Monique,Doering,1997-07-15,9999-01-01,1954-02-28
10768,Ishfaq,Candan,1990-07-04,9999-01-01,1955-06-24
10768,Ishfaq,Candan,1985-07-04,1990-07-04,1955-06-24
10778,Selwyn,Merey,1986-07-04,9999-01-01,1953-03-13
10791,Tadahiko,Sgarro,1995-07-31,9999-01-01,1954-05-27
10791,Tadahiko,Sgarro,1988-07-30,1995-07-31,1954-05-27
10795,Supot,Naudin,1999-05-03,9999-01-01,1954-12-14
10795,Supot,Naudin,1993-05-03,1999-05-03,1954-12-14
10808,Chenxi,Leijenhorst,1987-03-07,9999-01-01,1955-09-11
10835,Tomoyuki,Kermarrec,1995-08-22,9999-01-01,1952-11-23
10836,Jianhua,Leivant,1987-08-10,9999-01-01,1953-07-15
10844,Dipayan,Koprowski,1997-04-25,9999-01-01,1954-02-03
10847,Theirry,Danley,1986-07-25,1992-07-24,1952-03-04
10847,Theirry,Danley,1992-07-24,9999-01-01,1952-03-04
10848,Fen,Bratsberg,1992-04-20,9999-01-01,1954-07-16
10848,Fen,Bratsberg,1985-04-20,1992-04-20,1954-07-16
10878,Lakshmi,Deville,1997-04-25,9999-01-01,1952-06-13
10879,Muzhong,Chleq,1985-08-15,9999-01-01,1953-08-18
10883,Shimshon,Champarnaud,1996-12-28,9999-01-01,1952-07-30
10909,Georgi,Atchley,2000-12-26,9999-01-01,1954-11-11
10909,Georgi,Atchley,1993-12-26,2000-12-26,1954-11-11
10921,Mara,Bahi,1986-07-27,1995-07-27,1955-07-20
10921,Mara,Bahi,1995-07-27,9999-01-01,1955-07-20
10924,Hironoby,Atchley,1997-08-14,9999-01-01,1954-04-27
10924,Hironoby,Atchley,1988-08-14,1997-08-14,1954-04-27
10927,Gal,Scallan,1993-09-12,9999-01-01,1953-03-13
10927,Gal,Scallan,1986-09-12,1993-09-12,1953-03-13
10936,Mountaz,Schicker,1996-05-08,9999-01-01,1953-04-08
10936,Mountaz,Schicker,1990-05-09,1996-05-08,1953-04-08
10943,Berna,Skafidas,1993-05-22,1999-05-22,1955-11-19
10943,Berna,Skafidas,1999-05-22,9999-01-01,1955-11-19
10965,Eckart,Braunschweig,1986-07-29,9999-01-01,1955-07-10
10969,Premal,Noriega,1994-05-12,9999-01-01,1954-09-05
10974,Muneo,Papsdorf,1999-05-17,9999-01-01,1952-03-07
10986,Masako,Schiper,1985-10-11,9999-01-01,1954-08-11
10988,Chinya,Deyuan,1985-06-19,9999-01-01,1955-06-24
10989,Sumali,Candan,1991-07-20,9999-01-01,1954-09-08
10989,Sumali,Candan,1985-07-20,1991-07-20,1954-09-08
10990,Shin,Foote,1990-08-06,9999-01-01,1954-10-22
11009,Alper,Axelband,1986-09-09,1993-09-09,1954-08-30
11009,Alper,Axelband,1993-09-09,9999-01-01,1954-08-30
11012,Taegyun,Speckmann,1996-07-06,9999-01-01,1953-09-12
11019,Leon,Huttel,1997-05-24,9999-01-01,1954-09-06
11019,Leon,Huttel,1992-05-24,1997-05-24,1954-09-06
11021,Srinidhi,Henders,1998-02-02,9999-01-01,1954-07-13
11027,Remzi,Cappello,1986-05-07,1991-05-07,1955-12-13
11027,Remzi,Cappello,1991-05-07,1996-05-06,1955-12-13
11027,Remzi,Cappello,1996-05-06,9999-01-01,1955-12-13
11031,Ottavia,Walstra,1993-10-24,9999-01-01,1954-12-20
11031,Ottavia,Walstra,1985-10-24,1993-10-24,1954-12-20
11037,Lansing,Maliniak,1995-01-28,9999-01-01,1952-05-22
11037,Lansing,Maliniak,1988-01-28,1995-01-28,1952-05-22
11038,Jinya,Beidas,1992-07-15,9999-01-01,1955-10-13
11038,Jinya,Beidas,1985-07-15,1992-07-15,1955-10-13
11042,Gou,Breugel,1993-06-21,2000-06-21,1955-07-13
11042,Gou,Breugel,2000-06-21,9999-01-01,1955-07-13
11048,Jaques,Demke,1999-05-27,9999-01-01,1952-10-26
11050,Elvis,Katiyar,1991-05-06,9999-01-01,1952-09-23
11050,Elvis,Katiyar,1986-05-06,1991-05-06,1952-09-23
11051,Przemyslawa,Erol,1991-03-27,2000-03-26,1952-10-06
11051,Przemyslawa,Erol,2000-03-26,9999-01-01,1952-10-06
11070,Adib,Raney,1991-07-24,9999-01-01,1952-06-30
11070,Adib,Raney,1985-07-24,1991-07-24,1952-06-30
11081,Barry,Boyle,1985-06-17,1994-06-17,1952-06-20
11081,Barry,Boyle,1994-06-17,9999-01-01,1952-06-20
11085,Hailing,Thummel,1996-02-10,9999-01-01,1953-09-08
11100,Berna,Cochrane,1986-10-13,1993-10-13,1955-10-14
11100,Berna,Cochrane,1993-10-13,9999-01-01,1955-10-14
11106,Aris,Iwayama,1991-08-31,1997-08-30,1955-02-23
11106,Aris,Iwayama,1985-08-31,1991-08-31,1955-02-23
11106,Aris,Iwayama,1997-08-30,9999-01-01,1955-02-23
11112,Boaz,Mukaidono,1995-04-28,9999-01-01,1954-08-05
11113,Shahab,Peng,1985-11-30,1991-11-30,1953-04-28
11113,Shahab,Peng,1991-11-30,9999-01-01,1953-04-28
11121,Vugranam,Kakkad,1999-11-01,9999-01-01,1953-02-13
11121,Vugranam,Kakkad,1992-10-31,1999-11-01,1953-02-13
11133,Nalini,Azulay,1994-03-06,9999-01-01,1955-12-13
11134,Sachar,Rajcani,1993-05-19,2002-05-19,1954-05-15
11134,Sachar,Rajcani,2002-05-19,9999-01-01,1954-05-15
11137,Hugh,Luca,1995-03-16,9999-01-01,1955-03-17
11139,Bogdan,Homond,1990-05-11,1995-05-11,1955-10-13
11139,Bogdan,Homond,1995-05-11,9999-01-01,1955-10-13
11146,Ishfaq,Masand,1991-08-22,1997-08-21,1954-06-25
11146,Ishfaq,Masand,1997-08-21,9999-01-01,1954-06-25
11148,Zhanqiu,Botman,1990-02-08,1997-02-08,1953-01-23
11148,Zhanqiu,Botman,1997-02-08,9999-01-01,1953-01-23
11162,Kauko,Narlikar,1985-03-28,1990-03-28,1953-03-25
11162,Kauko,Narlikar,1990-03-28,9999-01-01,1953-03-25
11180,Mitsuyuki,Bojadziev,1992-06-10,9999-01-01,1952-11-07
11180,Mitsuyuki,Bojadziev,1986-06-11,1992-06-10,1952-11-07
11197,Tadahiro,Fordan,1989-09-12,9999-01-01,1955-05-11
11204,Diederik,Covnot,1985-09-18,9999-01-01,1955-12-15
11207,Saeed,Gips,1999-01-31,9999-01-01,1955-08-14
11208,Saniya,Valtorta,1994-11-17,9999-01-01,1952-05-29
11211,Yurij,Rissland,1985-09-17,9999-01-01,1952-12-11
11217,Kellie,Mawatari,1990-03-11,9999-01-01,1954-07-01
11232,Hidefumi,Crelier,1994-08-02,2000-08-01,1955-09-03
11232,Hidefumi,Crelier,2000-08-01,9999-01-01,1955-09-03
11240,Kiam,Condotta,1997-01-06,9999-01-01,1955-08-12
11240,Kiam,Condotta,1989-01-06,1997-01-06,1955-08-12
11249,Randi,Cyre,1994-09-22,9999-01-01,1954-10-01
11249,Randi,Cyre,1986-09-22,1994-09-22,1954-10-01
11251,Bezalel,Chinal,1986-06-15,1993-06-15,1955-10-16
11251,Bezalel,Chinal,1993-06-15,9999-01-01,1955-10-16
11268,Aimee,Petersohn,1995-10-25,9999-01-01,1954-05-14
11268,Aimee,Petersohn,1987-10-25,1995-10-25,1954-05-14
11275,Hitomi,Eppinger,1998-04-25,9999-01-01,1955-10-18
11275,Hitomi,Eppinger,1989-04-25,1998-04-25,1955-10-18
11290,Visit,Dredge,1999-05-13,9999-01-01,1953-05-07
11295,Abdelkader,Lanzelotte,1990-05-15,9999-01-01,1953-02-03
11295,Abdelkader,Lanzelotte,1985-05-15,1990-05-15,1953-02-03
11319,Pranas,Marrakchi,1998-11-01,9999-01-01,1955-06-05
11320,Atilio,McAlpine,1998-04-06,9999-01-01,1954-04-13
11320,Atilio,McAlpine,1990-04-06,1998-04-06,1954-04-13
11322,Nathalie,Pocchiola,1999-07-08,9999-01-01,1952-07-19
11322,Nathalie,Pocchiola,1985-07-07,1992-07-07,1952-07-19
11322,Nathalie,Pocchiola,1992-07-07,1999-07-08,1952-07-19
11324,Kauko,Billingsley,1985-08-29,9999-01-01,1953-11-16
11338,Kwangsub,Hanratty,1998-10-28,9999-01-01,1954-11-03
11339,Flemming,Massonet,1989-12-19,9999-01-01,1954-06-05
11347,Anneli,Jonsson,1986-04-20,1992-04-19,1954-12-27
11347,Anneli,Jonsson,1992-04-19,9999-01-01,1954-12-27
11365,Toshimi,Shinomoto,1997-12-18,9999-01-01,1953-11-17
11376,Valery,Suomi,1994-03-14,9999-01-01,1952-03-10
11376,Valery,Suomi,1986-03-14,1994-03-14,1952-03-10
11380,Kenroku,Pelc,1996-04-18,2001-04-18,1952-04-23
11380,Kenroku,Pelc,1991-04-19,1996-04-18,1952-04-23
11380,Kenroku,Pelc,2001-04-18,9999-01-01,1952-04-23
11385,Shiv,Ullian,1999-08-08,9999-01-01,1952-03-04
11386,Alselm,Assaf,1993-11-29,9999-01-01,1954-09-27
11386,Alselm,Assaf,1987-11-30,1993-11-29,1954-09-27
11393,Junsik,Junot,1985-04-30,1992-04-30,1954-05-17
11393,Junsik,Junot,1992-04-30,9999-01-01,1954-05-17
11398,Oscar,Peir,2001-09-07,9999-01-01,1953-05-30
11398,Oscar,Peir,1994-09-07,2001-09-07,1953-05-30
11404,Bedrich,Borovoy,1990-09-25,9999-01-01,1954-09-15
11415,Sanjiv,Anido,1996-12-07,9999-01-01,1953-10-29
11421,Josyula,Msuda,1995-09-02,9999-01-01,1953-11-07
11421,Josyula,Msuda,1986-09-02,1995-09-02,1953-11-07
11441,Marlo,Aingworth,1987-03-27,9999-01-01,1954-11-16
11449,Kotesh,Asser,2000-02-03,9999-01-01,1955-03-30
11449,Kotesh,Asser,1995-02-03,2000-02-03,1955-03-30
11459,Duke,Suomi,1986-05-03,1992-05-02,1953-10-14
11459,Duke,Suomi,1992-05-02,9999-01-01,1953-10-14
11469,Guttorm,Giaccio,1994-09-08,1999-09-08,1952-12-01
11469,Guttorm,Giaccio,1999-09-08,9999-01-01,1952-12-01
11506,Rance,Picel,1996-04-08,9999-01-01,1955-06-16
11509,Aleksander,Feldhoffer,1992-11-11,9999-01-01,1954-06-18
11509,Aleksander,Feldhoffer,1987-11-12,1992-11-11,1954-06-18
11513,Otmar,Mahnke,1998-08-25,9999-01-01,1954-07-16
11513,Otmar,Mahnke,1992-08-25,1998-08-25,1954-07-16
11515,Ulf,Basawa,1998-09-21,9999-01-01,1955-03-03
11518,Jinxi,Oxman,1994-09-22,1999-09-22,1953-07-21
11518,Jinxi,Oxman,1999-09-22,9999-01-01,1953-07-21
11524,Xiadong,Standera,1996-07-05,9999-01-01,1955-10-26
11527,Alagu,Boyle,1999-01-28,9999-01-01,1952-02-06
11528,Zito,Dolinsky,1987-06-15,9999-01-01,1955-04-26
11537,DAIDA,Pehl,1986-07-06,9999-01-01,1955-06-29
11554,Subhash,Taubenfeld,1998-07-15,9999-01-01,1955-05-28
11555,Kotesh,Perfilyeva,1991-10-14,9999-01-01,1955-08-05
11555,Kotesh,Perfilyeva,1986-10-14,1991-10-14,1955-08-05
11567,Teiji,Mitzlaff,1996-02-03,9999-01-01,1954-07-06
11567,Teiji,Mitzlaff,1988-02-03,1996-02-03,1954-07-06
11568,Martins,Fujisaki,2000-03-13,9999-01-01,1955-12-01
11568,Martins,Fujisaki,1992-03-13,2000-03-13,1955-12-01
11603,Herb,Swen,1994-04-13,9999-01-01,1954-12-07
11603,Herb,Swen,1985-04-13,1994-04-13,1954-12-07
11607,Tomokazu,Foong,1995-04-19,9999-01-01,1953-12-03
11615,Shem,Isaak,2000-08-28,9999-01-01,1955-03-05
11615,Shem,Isaak,1991-08-29,2000-08-28,1955-03-05
11624,Adil,Gammage,1996-07-15,9999-01-01,1955-05-16
11624,Adil,Gammage,1989-07-15,1996-07-15,1955-05-16
11628,Fan,Malinowski,1997-10-23,9999-01-01,1952-02-14
11628,Fan,Malinowski,1988-10-23,1997-10-23,1952-02-14
11640,Valeri,Coorg,1988-09-26,9999-01-01,1953-10-06
11647,Magy,Nitsche,1988-05-11,1993-05-11,1953-10-13
11647,Magy,Nitsche,1993-05-11,9999-01-01,1953-10-13
11660,Gill,Stenning,1994-11-22,9999-01-01,1955-07-19
11660,Gill,Stenning,1986-11-22,1994-11-22,1955-07-19
11673,Henk,Felder,1989-06-10,9999-01-01,1954-12-20
11676,Valeri,Ferriere,1998-07-15,9999-01-01,1952-04-12
11681,Fumitake,Benzmuller,1988-08-27,1995-08-28,1952-05-15
11681,Fumitake,Benzmuller,1995-08-28,9999-01-01,1952-05-15
11684,Oksana,Gide,1986-02-21,1995-02-21,1953-03-07
11684,Oksana,Gide,1995-02-21,9999-01-01,1953-03-07
11696,Dante,Rothe,1994-10-23,9999-01-01,1954-10-26
11696,Dante,Rothe,1985-10-23,1994-10-23,1954-10-26
11732,Sanjoy,Ranft,1996-12-22,9999-01-01,1955-06-14
11735,Amalendu,Picci,1988-07-14,1997-07-14,1955-02-19
11735,Amalendu,Picci,1997-07-14,9999-01-01,1955-02-19
11746,Koichi,Marrakchi,1988-11-17,1995-11-18,1952-05-22
11746,Koichi,Marrakchi,1995-11-18,9999-01-01,1952-05-22
11751,Jiafu,Emiris,1993-11-03,9999-01-01,1953-02-02
11751,Jiafu,Emiris,1988-11-03,1993-11-03,1953-02-02
11764,Sanjay,Anick,1996-12-15,9999-01-01,1953-04-22
11764,Sanjay,Anick,1991-12-16,1996-12-15,1953-04-22
11769,Chandrasekaran,Lampe,1993-10-22,2001-10-22,1953-07-17
11769,Chandrasekaran,Lampe,2001-10-22,9999-01-01,1953-07-17
11772,Gaurav,Penz,1999-11-07,9999-01-01,1954-06-19
11797,Chenxi,Thambidurai,1988-08-30,1996-08-30,1954-08-12
11797,Chenxi,Thambidurai,1996-08-30,9999-01-01,1954-08-12
11810,Amabile,Bhattacharjee,1992-01-05,9999-01-01,1952-12-08
11817,Niranjan,Markovitch,1993-04-12,9999-01-01,1955-05-25
11817,Niranjan,Markovitch,1986-04-12,1993-04-12,1955-05-25
11832,Arto,Zlotek,1996-02-04,9999-01-01,1952-05-18
11844,Shawna,Demeyer,1988-01-27,1995-01-27,1953-10-30
11844,Shawna,Demeyer,1995-01-27,9999-01-01,1953-10-30
11853,Zeljko,Kusakabe,1988-11-17,1996-11-17,1952-06-19
11853,Zeljko,Kusakabe,1996-11-17,9999-01-01,1952-06-19
11857,Divier,Farrag,1986-08-27,9999-01-01,1955-12-03
11864,Pradeep,Kriebel,1995-11-02,9999-01-01,1952-06-14
11871,Nalini,Sommen,1993-10-13,1998-10-13,1953-05-02
11871,Nalini,Sommen,1998-10-13,9999-01-01,1953-05-02
11872,Cheong,Riexinger,1994-02-12,2002-02-12,1953-01-17
11872,Cheong,Riexinger,2002-02-12,9999-01-01,1953-01-17
11894,Mitchel,Validov,1988-06-22,9999-01-01,1954-12-23
11897,Cordelia,Setlzner,1997-06-16,9999-01-01,1952-11-23
11897,Cordelia,Setlzner,1988-06-16,1997-06-16,1952-11-23
11906,Hideo,Boguraev,1999-02-07,9999-01-01,1955-04-26
11915,Miomir,Mawatari,2001-06-28,9999-01-01,1954-08-16
11915,Miomir,Mawatari,1992-06-28,2001-06-28,1954-08-16
11931,Gunilla,Chiodo,1991-01-13,2000-01-13,1952-10-30
11931,Gunilla,Chiodo,2000-01-13,9999-01-01,1952-10-30
11933,Basil,Erman,1992-06-12,9999-01-01,1953-08-15
11933,Basil,Erman,1987-06-13,1992-06-12,1953-08-15
11949,Martijn,Harbusch,1985-03-11,9999-01-01,1953-01-27
11983,Jaana,Hedayat,1986-10-11,1994-10-11,1953-01-04
11983,Jaana,Hedayat,1994-10-11,9999-01-01,1953-01-04
11993,Marit,Dalphin,1996-10-22,9999-01-01,1955-10-29
12011,Zhilian,Coorg,1997-07-22,9999-01-01,1953-12-16
12011,Zhilian,Coorg,1988-07-22,1997-07-22,1953-12-16
12036,Mads,Ratzlaff,1986-09-05,1995-09-05,1953-03-02
12036,Mads,Ratzlaff,1995-09-05,9999-01-01,1953-03-02
12037,Arunas,Katzenelson,1986-10-01,1992-09-30,1954-01-11
12037,Arunas,Katzenelson,1992-09-30,9999-01-01,1954-01-11
12050,Yuchang,Tchuente,1996-04-01,9999-01-01,1953-06-08
12050,Yuchang,Tchuente,1989-04-01,1996-04-01,1953-06-08
12062,Margareta,Worfolk,1996-01-04,9999-01-01,1954-01-20
12069,Ayonca,Burnard,1995-05-13,9999-01-01,1953-12-27
12069,Ayonca,Burnard,1985-05-13,1990-05-13,1953-12-27
12069,Ayonca,Burnard,1990-05-13,1995-05-13,1953-12-27
12070,Ger,Shokrollahi,1988-11-14,9999-01-01,1955-07-23
12076,Karlis,Siprelle,1985-03-25,9999-01-01,1955-03-16
12082,Xinan,Yamaashi,1986-01-29,1992-01-29,1953-09-20
12082,Xinan,Yamaashi,1992-01-29,9999-01-01,1953-09-20
12089,Bilhanan,Socorro,1986-10-22,1994-10-22,1954-06-21
12089,Bilhanan,Socorro,1994-10-22,9999-01-01,1954-06-21
12099,Nobuyoshi,Kuzuoka,1994-02-15,1999-02-15,1953-01-12
12099,Nobuyoshi,Kuzuoka,1999-02-15,9999-01-01,1953-01-12
12112,Satyanarayana,Avouris,1997-09-26,9999-01-01,1953-07-01
12112,Satyanarayana,Avouris,1989-09-26,1997-09-26,1953-07-01
12122,Satoru,Krone,1992-07-23,9999-01-01,1954-06-27
12122,Satoru,Krone,1987-07-24,1992-07-23,1954-06-27
12123,Xiahua,Syrzycki,1987-07-18,1994-07-18,1954-07-08
12123,Xiahua,Syrzycki,1994-07-18,9999-01-01,1954-07-08
12125,Shounak,Erman,1997-03-31,9999-01-01,1953-04-16
12149,Suebskul,Grandbois,1988-10-01,9999-01-01,1954-10-25
12159,Shem,Perly,1985-07-17,9999-01-01,1955-08-15
12165,Xiaobin,Maquelin,1994-08-29,9999-01-01,1952-11-19
12183,Harngdar,Iisaku,1998-04-04,9999-01-01,1954-06-29
12192,Feiyu,Klyachko,1991-09-02,9999-01-01,1954-11-06
12192,Feiyu,Klyachko,1986-09-02,1991-09-02,1954-11-06
12205,Sushant,Rossi,1987-11-11,9999-01-01,1955-08-24
12206,Barton,Janetzko,2001-03-27,9999-01-01,1954-11-21
12206,Barton,Janetzko,1985-03-27,1993-03-27,1954-11-21
12206,Barton,Janetzko,1993-03-27,2001-03-27,1954-11-21
12218,Yaghout,Strooper,2000-03-11,9999-01-01,1954-08-01
12218,Yaghout,Strooper,1991-03-12,2000-03-11,1954-08-01
12221,Vincent,Melter,1991-09-16,9999-01-01,1955-07-14
12221,Vincent,Melter,1985-09-16,1991-09-16,1955-07-14
12222,Abdelwaheb,Holburn,1987-08-15,1996-08-14,1953-03-04
12222,Abdelwaheb,Holburn,1996-08-14,9999-01-01,1953-03-04
12223,Niteen,Koyama,1995-08-13,9999-01-01,1954-07-27
12223,Niteen,Koyama,1986-08-13,1995-08-13,1954-07-27
12247,Subbu,Penttonen,1985-04-09,9999-01-01,1952-03-26
12249,Eldridge,Sadowski,1987-06-21,1996-06-20,1952-09-20
12249,Eldridge,Sadowski,1996-06-20,9999-01-01,1952-09-20
12256,Guadalupe,Reghbati,1985-08-26,1992-08-26,1955-02-15
12256,Guadalupe,Reghbati,1992-08-26,9999-01-01,1955-02-15
12264,Mart,Pagter,1998-01-09,9999-01-01,1953-12-30
12270,Shakhar,Kornyak,1996-08-19,9999-01-01,1953-08-10
12270,Shakhar,Kornyak,1989-08-19,1996-08-19,1953-08-10
12272,Behnaam,Grandbois,1987-12-08,1992-12-07,1955-10-16
12272,Behnaam,Grandbois,1992-12-07,9999-01-01,1955-10-16
12308,Mototsugu,Cronau,1985-08-11,1991-08-11,1952-02-17
12308,Mototsugu,Cronau,1991-08-11,9999-01-01,1952-02-17
12311,Susanne,Lubachevsky,1985-10-22,9999-01-01,1955-02-11
