emp_no,first_name,last_name,to_date,salary
287093,Dietrich,Leslie,9999-01-01,40741
434794,Leni,Piazza,9999-01-01,42864
280496,Xianlong,Potthoff,9999-01-01,40000
17199,Vasilis,Guardalben,9999-01-01,40000
497212,Yakichi,Lambe,9999-01-01,61696
492558,Yoshimitsu,Melter,9999-01-01,40000
414774,Haldon,Ginneken,1995-10-20,40000
104174,Ramzi,Shiratori,1992-01-27,40000
490452,Nirmal,Muniz,9999-01-01,40000
425104,Billur,Zolotykh,1992-06-23,55161
481743,Sukumar,Tibblin,1996-03-09,40000
483466,Leszek,Fujisaki,9999-01-01,55466
218655,Kiyotoshi,Lakshmanan,9999-01-01,55401
68173,Gererd,Litzkow,9999-01-01,40000
404854,Lena,Riesenhuber,1993-02-17,63668
41201,Kazuhito,Munch,1986-10-29,80973
481506,Bluma,Rehfuss,9999-01-01,78393
106836,Yurii,Ghemri,9999-01-01,49410
68998,Remko,Serra,9999-01-01,40000
105876,Eldridge,Junet,9999-01-01,40000
446147,Krassimir,Karunanithi,2002-06-24,40000
484458,Xiaocheng,Bahk,9999-01-01,52908
284099,Masali,Gluchowski,9999-01-01,45170
203308,Pantung,Stentiford,9999-01-01,51513
76773,Baruch,Wallrath,1997-07-02,40000
72436,Roselyn,Siegrist,1986-12-19,40000
276378,Wanqing,Luiz,9999-01-01,40000
405512,Mabhin,Jeansoulin,1995-11-14,72373
14640,Toshimori,Kornatzky,9999-01-01,42662
78794,Fun,Rajaraman,9999-01-01,61536
35847,Serif,Attimonelli,1999-09-20,58928
241518,Janche,Rijckaert,9999-01-01,40000
452715,Taegyun,Marshall,2001-11-05,40000
89010,Jingling,Weisert,2000-10-18,40000
47203,Samphel,Fasbender,9999-01-01,40000
94211,Martins,Yurov,9999-01-01,41359
447759,Bedrich,Deville,2000-05-01,40000
253796,Masako,Unni,1994-07-02,46169
411838,Laurentiu,Jeansoulin,9999-01-01,49581
434691,Raimond,Majewski,1991-10-08,40000
482648,Kinh,Velardi,9999-01-01,40000
99716,Luerbio,Casperson,9999-01-01,55990
497744,Rimon,Farris,9999-01-01,40000
103568,Peternela,Camarinopoulos,9999-01-01,40000
214682,Jaroslava,Neimat,9999-01-01,96068
10777,Mizuhito,Kemmerer,2001-03-27,40000
294001,Changho,Waleschkowski,9999-01-01,40000
282408,Shaowen,Beilner,1997-07-02,49140
83478,Goa,Budinsky,9999-01-01,40000
65144,Nectarios,Deyuan,9999-01-01,63968
12122,Satoru,Krone,9999-01-01,46398
243631,Elrique,Thibadeau,2000-06-05,51104
273049,Luisa,Poupard,2001-12-08,46668
208501,Clyde,Chiodo,9999-01-01,44866
56049,Felicidad,Waymire,2000-09-23,76782
285968,Herbert,Koblitz,9999-01-01,54525
17657,Thanasis,Zucker,9999-01-01,43935
281364,Masami,Majewski,9999-01-01,40000
77749,Mayumi,Bharadwaj,9999-01-01,48370
19943,Shimshon,Schoegge,9999-01-01,57412
420158,Jasminko,Henders,1999-11-04,69936
477744,Jiang,Iwayama,2000-06-19,56007
42208,Gao,Guenter,1995-02-21,84672
105593,Kankanahalli,Liesche,9999-01-01,40000
298247,Shan,Comyn,9999-01-01,84006
50382,Shao,Brendel,1991-11-04,65907
257971,Hugo,Nivat,9999-01-01,40000
83168,Yechiam,Danner,9999-01-01,40000
408721,Moss,Bottner,9999-01-01,59907
231044,Stevo,Merey,9999-01-01,57238
98697,JiYoung,Harbusch,9999-01-01,61359
22623,Tommaso,Champarnaud,1999-02-16,46491
463444,Patricia,Zambonelli,9999-01-01,40000
20063,Guttorm,Carrere,1994-04-02,52629
448044,Yakkov,Stille,9999-01-01,58249
36081,Premsyl,Biron,1994-02-08,46652
463351,Achilleas,Schaar,1998-05-25,46932
430360,Bokyung,Bardell,1999-10-27,40000
13775,Arve,Maierhofer,9999-01-01,70161
481313,Cullen,Rodier,9999-01-01,43078
265479,Seshu,Babb,1998-03-26,40000
298253,Sven,Shinomoto,9999-01-01,53244
206412,Geoffrey,Frezza,2001-06-26,40000
284391,Berto,Bennet,9999-01-01,50438
491851,Jaihie,Braccini,9999-01-01,61163
210802,Christoph,Perz,1993-12-10,43776
60597,Ute,Schlumberger,9999-01-01,40000
107173,Kellie,Luga,9999-01-01,66709
72569,Katsuyuki,Halevi,9999-01-01,51848
427362,Chrisa,Melton,9999-01-01,60271
475525,Shaunak,Sullins,9999-01-01,65993
228973,Cheong,Nations,9999-01-01,52159
499688,Bingning,Perin,9999-01-01,104279
471239,Adas,Marletta,9999-01-01,40000
289419,Kenroku,Ozeri,9999-01-01,80321
407583,Chenye,Reinhard,9999-01-01,44396
262168,Youjian,Pews,9999-01-01,63842
420982,Serge,Laurillard,9999-01-01,40000
425092,Ebbe,Meszaros,9999-01-01,66525
99122,Tooru,Schwabacher,2001-05-17,40000
105264,Chrisa,Simkin,9999-01-01,56850
456174,Vojin,Raczkowsky,9999-01-01,73149
471728,Tadahiko,Heystek,9999-01-01,40000
239074,Chenyi,Koprowski,9999-01-01,53772
266487,Unal,Boyle,9999-01-01,63251
60794,Sashi,Zlotek,9999-01-01,72731
262898,Susuma,Shihab,1997-03-29,49826
429761,Gadiel,Auyong,9999-01-01,55014
73808,Urs,Skafidas,9999-01-01,40000
70191,Yagil,Jiafu,1998-10-27,45041
432594,Shem,Cronin,1995-02-02,60497
67967,Marin,Stille,9999-01-01,40000
50048,Indrajit,Lindqvist,9999-01-01,43392
282598,Adly,Gonthier,2000-02-20,70715
43691,Kazuhira,Baalen,9999-01-01,73340
61666,Tesuro,Vasanthakumar,9999-01-01,40000
246395,Vasilii,Schwabacher,9999-01-01,40000
496773,Shaunak,Baak,9999-01-01,56413
281058,Miomir,Bressoud,9999-01-01,40000
284146,Jouni,Peot,9999-01-01,71644
89431,Yunming,Pileggi,9999-01-01,40000
494885,Demin,Eterovic,9999-01-01,79216
289847,Leen,Wissmann,1998-06-29,40000
437195,Uno,Hettesheimer,9999-01-01,40000
263318,Kazuhisa,Muhling,9999-01-01,58099
202567,Visit,Capobianchi,9999-01-01,48187
220334,Sakthirel,Cappello,9999-01-01,62615
205782,Shen,Brandsma,1998-04-02,59618
246930,Kitty,Anguita,9999-01-01,67266
428742,Rasiah,Denny,9999-01-01,54846
278007,Hatim,Hashii,2002-05-02,43941
26752,Deniz,Zockler,9999-01-01,40000
94922,Shaowen,Neimat,9999-01-01,66493
202508,Remco,Cangellaris,1994-03-19,70372
436651,Weijing,Birnbaum,9999-01-01,80851
474947,Zhigen,Range,1997-04-30,56132
461485,Vivian,Angot,9999-01-01,40000
109991,Jinxi,Reistad,9999-01-01,40000
65605,Howell,Matzen,9999-01-01,44011
226072,Mohammed,Baalen,1995-06-16,70212
460108,Becky,Radhakrishnan,1990-05-09,43599
43887,Kwan,Giveon,9999-01-01,40000
66560,Leaf,Lammel,9999-01-01,42133
221805,Yucai,Luders,9999-01-01,40000
289025,Feixiong,Fordan,2001-10-18,50874
61114,Irena,Bardell,2001-05-19,55043
29194,Sarita,Peris,9999-01-01,47274
107245,Horward,Docker,9999-01-01,68492
33472,Hsiangchu,Chvatal,9999-01-01,51543
64802,Vasilii,Boyle,2002-06-06,49987
10617,Hidekazu,Angel,2001-10-03,40000
220320,Chiranjit,Gaughan,9999-01-01,40000
494068,Kerryn,Swiss,9999-01-01,76439
262807,Christfried,Gyorkos,1995-06-02,52060
64136,Godehard,Lamba,9999-01-01,60921
21693,Palash,Schurmann,1992-07-28,87515
488018,Adamantios,Zweizig,1989-11-29,75933
250244,Shunichi,Muntz,9999-01-01,86983
254203,Rutger,Milicic,9999-01-01,80506
50456,Alain,Eastman,9999-01-01,46952
430759,Fumiko,Buchter,9999-01-01,55232
296480,Duro,Klassen,9999-01-01,45771
492844,Falguni,Prenel,9999-01-01,40000
495245,Shahab,Teitelbaum,9999-01-01,40000
434111,Satoru,Demeyer,9999-01-01,40000
33427,Shalesh,Mitsuhashi,9999-01-01,40000
278806,Kwee,Erdmenger,2000-07-08,52820
442966,Shaw,Ulupinar,9999-01-01,57924
59206,Shan,Wroclawski,9999-01-01,40313
207317,Francoise,Naudin,9999-01-01,72504
94589,Sibyl,Heusch,9999-01-01,40000
64753,Shahid,Swan,9999-01-01,40000
217377,Zhaofang,Gecsei,1998-06-11,48248
209174,Kiam,Vidal,9999-01-01,66485
94410,Iara,Schieder,9999-01-01,58035
490041,Manohar,Heuter,9999-01-01,40000
253745,Krassimir,Adachi,9999-01-01,63262
295462,Susanna,Penttonen,1999-10-25,53712
452792,Dmitry,Bade,9999-01-01,53893
22749,Snehasis,Famili,9999-01-01,53701
260529,Nechama,Hofstetter,9999-01-01,40000
265481,Sven,Kolinko,9999-01-01,40000
226987,Arif,Delgrossi,9999-01-01,55209
442083,Shridhar,Perly,9999-01-01,52195
80869,Ishfaq,Randi,9999-01-01,40000
432316,Yahiko,Gecsel,9999-01-01,40000
283486,Mokhtar,Kampfer,9999-01-01,40000
83898,Erzsebet,England,9999-01-01,40000
401583,Lucian,Gips,9999-01-01,69893
42422,Marin,Tokunaga,1992-06-19,51005
97335,Demin,Haddadi,9999-01-01,54629
30106,Zeljko,Yamaashi,9999-01-01,40000
23460,Masato,Steinauer,1995-09-18,62890
218616,Haldon,Montemayor,1988-10-06,79955
100787,Ewing,Sury,9999-01-01,60396
78996,Jaber,Jahnichen,1989-09-20,42697
103855,Christophe,Peres,9999-01-01,46663
442133,Bernd,Angel,9999-01-01,85908
223995,Hyuckchul,Beilner,9999-01-01,40000
453606,Teunis,Puoti,9999-01-01,40000
414601,Mohammed,Kranzdorf,9999-01-01,49013
469726,Ranga,Stasinski,9999-01-01,40000
479357,Noritoshi,Perez,9999-01-01,40000
280333,Zongyan,Kisuki,9999-01-01,53755
22441,Angus,Neiman,1996-08-20,64361
16799,Shigeichiro,Bamford,9999-01-01,54405
412704,Gen,Panangaden,1991-01-17,42619
224785,Yaghout,Beetstra,1995-10-31,47555
435819,Manton,Merey,9999-01-01,40000
485968,Zhongwei,Sankaranarayanan,9999-01-01,56333
228095,DAIDA,Suppi,9999-01-01,40000
79303,Toong,Strandh,1990-04-30,46736
77665,Paddy,Fargier,9999-01-01,60654
94008,Sumali,Itzfeldt,9999-01-01,71411
209008,Lidong,Ranft,9999-01-01,50718
100416,Chinya,Neimat,1997-04-16,51393
267024,Manu,Walstra,1998-05-31,40000
452061,Ramya,Tramer,1989-04-08,63936
424293,Hinrich,Malabarba,1995-07-31,40000
290069,Guenter,Yoshimura,9999-01-01,49716
10522,Marke,Cesareni,9999-01-01,40000
413482,Along,Marrakchi,1996-08-10,85108
14293,Qunsheng,Middleton,1990-09-12,40000
40432,Leucio,Linnainmaa,1999-12-09,61952
461608,Matk,Brendel,9999-01-01,51047
258411,Mihalis,Tchuente,9999-01-01,50337
238342,Filipp,Wielonsky,9999-01-01,56521
298666,Dinah,Gargeya,9999-01-01,65738
32168,Yaghout,Swick,9999-01-01,40000
109811,Eric,Wendorf,9999-01-01,40000
420217,Maren,Streit,9999-01-01,40000
464604,Tsutomu,Fiutem,9999-01-01,51562
454501,Hauke,Iivonen,1993-08-19,41223
438584,Sangeeta,Pero,9999-01-01,41302
16399,Apostol,Collette,9999-01-01,59384
253047,Hausi,Manders,9999-01-01,40000
455029,Somnath,Matteis,9999-01-01,40000
81558,Xiaoheng,Varman,2001-12-10,54444
495393,Vugranam,Perko,9999-01-01,40000
107780,Masasuke,Gewali,9999-01-01,45786
242470,Tse,Constantine,9999-01-01,46372
246038,Herbert,Pettit,9999-01-01,48906
93509,Lijie,Perl,9999-01-01,40000
415032,Sarita,Kropf,9999-01-01,40000
103595,Zhensheng,Hutton,9999-01-01,68103
20530,Nevio,Katiyar,9999-01-01,61897
449381,Visit,Hennebert,9999-01-01,44265
268867,Tetsurou,Parascandalo,1994-08-29,40000
219478,Froduald,Malinowski,9999-01-01,56595
456732,Kazuhiko,Roohalamini,1997-01-02,48685
262902,Wayne,Guting,9999-01-01,58149
460335,Toney,Sethi,9999-01-01,42874
223403,Stepehn,Engelmann,1994-11-15,40000
105040,Vojin,Erbe,9999-01-01,58016
79049,Lijie,Besancenot,9999-01-01,78298
214161,Tsz,Strehl,9999-01-01,40000
221052,Claudi,Godskesen,9999-01-01,40000
464866,Sreekrishna,Rikino,1999-05-25,63786
259212,Arif,Boissier,1995-04-10,53052
106441,Erzsebet,Narahari,9999-01-01,68396
221515,Weicheng,Hutter,9999-01-01,40000
475933,Yechiam,Streng,9999-01-01,40000
259654,Pranay,Dehkordi,9999-01-01,40000
408113,Lidong,Gips,9999-01-01,46720
419009,Yongdong,Morris,9999-01-01,42110
274349,Lubomir,Wilfing,9999-01-01,40000
407374,Ziva,Hellwagner,1991-02-23,57882
221027,Yongdong,Hofstetter,9999-01-01,40000
455763,Limsoon,Brobst,1998-09-03,42614
459420,Shietung,Iisaku,9999-01-01,50546
422736,Clyde,Bugaenko,1989-03-24,40000
211655,Giap,Aingworth,9999-01-01,40000
431176,Kerryn,Miara,9999-01-01,40000
264752,Juichirou,Syrotiuk,9999-01-01,40000
401589,Vishwani,Ducloy,1999-02-19,72748
281548,Yishay,Lichtner,9999-01-01,79028
288847,Guenter,Kalafatis,9999-01-01,57450
63542,Michaela,Hanratty,9999-01-01,49445
41885,Val,Validov,9999-01-01,68151
411813,Premal,Hammerschmidt,9999-01-01,61444
499347,Ugo,Schwartzbauer,9999-01-01,75444
432798,Berry,Denna,9999-01-01,40000
97682,Alejandra,Gulik,9999-01-01,41892
11673,Henk,Felder,9999-01-01,40000
52291,Kshitij,Erva,9999-01-01,71789
90862,Masadi,Billingsley,9999-01-01,72633
21505,Etsuo,Delaune,9999-01-01,40000
298372,Gad,Laurillard,9999-01-01,44607
448623,Tetsurou,Taubman,9999-01-01,50470
215610,Ute,Kawashima,1995-06-10,43907
495015,Ghassan,Sudbeck,9999-01-01,40000
428049,Souichi,Aumann,1998-03-26,50186
200666,Weicheng,Dusink,1998-09-27,40000
481250,Evgueni,Cullers,9999-01-01,83194
65367,Weiwu,Heyers,9999-01-01,54705
29126,Visit,Suessmith,9999-01-01,49310
32468,Rafols,Masamoto,9999-01-01,81351
285554,Ziyad,Brandsma,9999-01-01,40000
427055,Toong,Rosis,9999-01-01,40000
464517,Udaiprakash,Kuhnemann,2000-09-29,40000
434558,Shichao,Harllee,9999-01-01,69161
275313,Serge,Keustermans,9999-01-01,45798
60366,Perry,Benzaken,9999-01-01,40000
407725,Chenxi,Skogmar,1995-01-17,40000
263070,Subhrajyoti,Raney,9999-01-01,40000
